FL_DATE,Flight_Month,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,Delay_category,Delay_status,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
20-12-2021,2021-12,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5056,PRC,"Prescott, AZ",DEN,"Denver, CO",600,608,8,No delay,Delayed,11,619,739,10,759,749,-10,0,0,0,119,101,80,557,0,0,0,0,0
03-07-2023,2023-07,JetBlue Airways,JetBlue Airways: B6,B6,20409,431,BOS,"Boston, MA",LGA,"New York, NY",1400,1350,-10,No delay,Delayed,15,1405,1449,6,1521,1455,-26,0,0,0,81,65,44,184,0,0,0,0,0
06-01-2020,2020-01,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1530,LAX,"Los Angeles, CA",ATL,"Atlanta, GA",1030,1035,5,No delay,Delayed,15,1050,1724,4,1740,1728,-12,0,0,0,250,233,214,1947,0,0,0,0,0
26-02-2021,2021-02,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,440,SMF,"Sacramento, CA",DEN,"Denver, CO",530,526,-4,No delay,Delayed,11,537,832,7,847,839,-8,0,0,0,137,133,115,909,0,0,0,0,0
08-04-2023,2023-04,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3355,MDW,"Chicago, IL",SAT,"San Antonio, TX",2120,2133,13,No delay,Delayed,7,2140,2,3,15,5,-10,0,0,0,175,152,142,1036,0,0,0,0,0
12-06-2021,2021-06,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1031,DTW,"Detroit, MI",ATL,"Atlanta, GA",1330,1332,2,No delay,Delayed,10,1342,1522,6,1531,1528,-3,0,0,0,121,116,100,594,0,0,0,0,0
16-04-2019,2019-04,Envoy Air,Envoy Air: MQ,MQ,20398,3657,GRR,"Grand Rapids, MI",ORD,"Chicago, IL",1414,1409,-5,No delay,Delayed,13,1422,1355,15,1420,1410,-10,0,0,0,66,61,33,137,0,0,0,0,0
16-01-2023,2023-01,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5762,DEN,"Denver, CO",SLC,"Salt Lake City, UT",1720,1725,5,No delay,Delayed,23,1748,1902,7,1907,1909,2,0,0,0,107,104,74,391,0,0,0,0,0
07-01-2019,2019-01,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,397,SAT,"San Antonio, TX",DAL,"Dallas, TX",1350,1401,11,No delay,Delayed,6,1407,1452,3,1455,1455,0,0,0,0,65,54,45,248,0,0,0,0,0
25-05-2019,2019-05,Republic Airline,Republic Airline: YX,YX,20452,3604,MSY,"New Orleans, LA",EWR,"Newark, NJ",1330,1416,46,Short Delay,On Time,11,1427,1800,9,1740,1809,29,0,0,0,190,173,153,1167,0,0,13,0,16
